Date	Articles	Price	Price-Change	Change
2010-01-15	[(('david', 'pogu', 'review', 'googl', 'new', 'offer', 'nexus', 'one', 'cellphon'),), (('the', 'compani', 'agre', 'hand', 'list', 'book', 'scan', 'china', 'seek', 'settlement', 'digit', 'book', 'earli', 'summer'), ('googl', 'expand', 'cloudbas', 'storag', 'option', 'new', 'file', 'format'), ('googl', 'said', 'attack', 'servic', 'aim', 'chines', 'dissid'), ('cnbc', 'interview', 'david', 'drummond', 'chief', 'legal', 'offic', 'googl', 'discus', 'internet', 'giant', 'reaction', 'assault', 'hacker', 'sought', 'penetr', 'email', 'account', 'chines', 'human', 'right', 'activist'), ('googl', 'show', 'great', 'backbon', 'halt', 'censorship', 'china', 'threaten', 'pull', 'countri'), ('the', 'move', 'come', 'assault', 'hacker', 'comput', 'system', 'would', 'high', 'unusu', 'rebuk', 'china', 'larg', 'respect', 'compani')), (('owner', 'nexus', 'one', 'googl', 'phone', 'found', 'loss', 'come', 'seek', 'help', 'problem'), ('twenti', 'compani', 'may', 'also', 'attack', 'difficult', 'posit', 'decid', 'whether', 'follow', 'googl'), ('the', 'default', 'set', 'googl', 'free', 'gmail', 'account', 'use', 'https', 'protocol', 'protect', 'user', 'email', 'data', 'snoop', 'flow', 'internet'), ('after', 'disclosur', 'onlin', 'attack', 'network', 'includ', 'gmail', 'account', 'googl', 'say', 'default', 'secur', 'https', 'technolog', 'better', 'protect', 'gmail', 'user', 'snoop')), (('some', 'analyst', 'say', 'lack', 'strong', 'competit', 'could', 'slow', 'overal', 'develop', 'internet', 'china'), ('the', 'compani', 'move', 'reflect', 'deeper', 'shift', 'longstand', 'uneas', 'among', 'execut', 'busi', 'china'), ('beij', 'googl', 'stun', 'declar', 'would', 'stop', 'cooper', 'chines', 'internet', 'censorship', 'consid', 'shut', 'oper', 'countri', 'altogeth', 'ricochet', 'around', 'world', 'wednesday', 'but', 'china', 'itself', 'news', 'h'), ('if', 'googl', 'pull', 'china', 'nation', 'suffer', 'inabl', 'access', 'vast', 'store', 'knowledg'), ('by', 'refus', 'censor', 'search', 'result', 'china', 'googl', 'show', 'spine', 'kind', 'compani', 'govern', 'shown', 'toward', 'beij'), ('open', 'china', 'mean', 'end', 'prosper', 'develop', 'valu', 'this', 'paradox', 'googl', 'appear', 'bent', 'challeng'), ('a', 'group', 'hous', 'republican', 'hope', 'googl', 'recent', 'rebuk', 'china', 'pave', 'way', 'legisl', 'internet', 'freedom'))]	580.0	-22.0	2.0
2010-01-22	[(('the', 'french', 'govern', 'offer', 'support', 'googl', 'book', 'digit', 'program', 'exchang', 'tax', 'support', 'music', 'industri'), ('analyst', 'say', 'stay', 'china', 'would', 'riski', 'googl', 'econom', 'pain', 'leav', 'would', 'like', 'felt', 'year'), ('the', 'countri', 'govern', 'want', 'develop', 'extens', 'digit', 'librari', 'resist', 'american', 'search', 'giant', 'grow', 'reach'), ('is', 'matter', 'time', 'technologist', 'find', 'way', 'defeat', 'censorship')), (('those', 'u', 'live', 'greater', 'china', 'know', 'beij', 'react', 'well', 'theatric', 'throwdown', 'gauntlet'), ('befor', 'googl', 'difficulti', 'china', 'yahoo', 'ebay', 'myspac', 'outsmart', 'local', 'compani', 'limit', 'govern', 'restrict')), (('alibaba', 'group', 'china', 'say', 'yahoo', 'appear', 'follow', 'googl', 'suggest', 'chines', 'govern', 'behind', 'cyberattack'),), (('the', 'intrus', 'googl', 'comput', 'relat', 'attack', 'point', 'rise', 'sophist', 'assault', 'vulner', 'even', 'best', 'defens'),), (('googl', 'say', 'bring', 'u', 'traffic', 'problem', 'googl', 'earn', 'billion', 'earn', 'noth', 'spokesman', 'german', 'newspap', 'publish', 'associ', 'said'), ('alibaba', 'group', 'china', 'saturday', 'critic', 'yahoo', 'one', 'largest', 'sharehold', 'side', 'googl', 'cyber', 'attack')), (('with', 'futur', 'googl', 'china', 'oper', 'uncertain', 'releas', 'two', 'android', 'phone', 'postpon'), ('a', 'malwar', 'specialist', 'said', 'softwar', 'use', 'attack', 'googl', 'contain', 'modul', 'base', 'algorithm', 'chineseauthor', 'technic', 'paper'), ('as', 'googl', 'prepar', 'talk', 'chines', 'govern', 'censorship', 'law', 'compani', 'indic', 'would', 'like', 'retain', 'much', 'oper', 'countri'), ('googl', 'appl', 'longer', 'friend', 'compet', 'arena', 'the', 'latest', 'sign', 'rift', 'appl', 'consid', 'use', 'bing', 'default', 'search', 'engin', 'iphon', 'web', 'browser')), (('though', 'appl', 'hasnt', 'decid', 'whether', 'carri', 'googl', 'voic', 'applic', 'ribbit', 'mobil', 'app', 'offer', 'googl', 'voic', 'featur'), ('the', 'chines', 'govern', 'approach', 'disput', 'censorship', 'busi', 'conflict', 'polit', 'matter', 'could', 'affect', 'us', 'relat'), ('microsoft', 'releas', 'emerg', 'softwar', 'updat', 'internet', 'explor', 'browser', 'block', 'one', 'method', 'hacker', 'use', 'attack', 'googl', 'compani', 'last', 'month'), ('motorola', 'unveil', 'applic', 'store', 'china', 'phone', 'run', 'googl', 'android', 'softwar', 'the', 'move', 'posit', 'compani', 'support', 'android', 'even', 'googl', 'leaf', 'countri'), ('the', 'group', 'oppos', 'settlement', 'would', 'creat', 'vast', 'digit', 'librari', 'book', 'brought', 'object', 'sever', 'agenc'))]	550.01	-30.0	2.0
2010-01-29	[(('the', 'result', 'top', 'wall', 'street', 'expect', 'revenu', 'quarter', 'billion', 'billion', 'year', 'earlier'), ('nokia', 'addit', 'navig', 'softwar', 'smartphon', 'effort', 'match', 'googl', 'offer', 'free', 'gps', 'phone', 'use', 'android', 'system'), ('berlin', 'nokia', 'thursday', 'began', 'give', 'away', 'profession', 'gps', 'navig', 'softwar', 'smartphon', 'match', 'move', 'googl', 'deal', 'blow', 'leader', 'market', 'special', 'devic', 'garmin', 'tomtom', 'nokia', 'world'), ('where', 'microsoft', 'googl', 'appl', 'yahoo', 'compet', 'take', 'look', 'handi', 'chart'), ('googl', 'founder', 'plan', 'sell', 'million', 'share', 'five', 'year', 'would', 'drop', 'vote', 'right', 'compani', 'percent')), (('search', 'engin', 'longer', 'lack', 'sophist', 'find', 'new', 'inform', 'compani', 'say', 'it', 'le', 'new', 'inform', 'found'), ('googl', 'founder', 'larri', 'page', 'sergey', 'brin', 'plan', 'sell', 'five', 'million', 'googl', 'share', 'next', 'five', 'year', 'practic', 'purpos', 'two', 'continu', 'effect', 'control', 'compani'), ('in', 'interview', 'bill', 'gate', 'chairman', 'microsoft', 'declin', 'call', 'googl', 'monopolist', 'said', 'power', 'forc', 'support', 'domin', 'search', 'he', 'also', 'critic', 'googl', 'threat', 'pull', 'china', 'censorship', 'search', 'result')), (('china', 'said', 'us', 'suggest', 'china', 'condon', 'direct', 'hacker', 'attack', 'googl', 'groundless'), ('tire', 'wait', 'approv', 'appl', 'googl', 'releas', 'new', 'browser', 'version', 'googl', 'voic', 'iphon'), ('have', 'iphon', 'tire', 'wait', 'googl', 'voic', 'app', 'there', 'workaround', 'folk', 'mountainview')), (('the', 'estat', 'author', 'richard', 'wright', 'declar', 'googl', 'book', 'settlement', 'grievous', 'flaw'), ('googl', 'give', 'user', 'option', 'see', 'person', 'search', 'result', 'tap', 'social', 'circl', 'relev', 'content')), (('in', 'new', 'round', 'court', 'file', 'mani', 'critic', 'origin', 'googl', 'book', 'settlement', 'said', 'still', 'oppos', 'deal', 'despit', 'revis'),)]	529.944	-20.1	2.0
2010-02-05	[(('lesson', 'plan', 'look', 'issu', 'involv', 'stake', 'disput', 'china', 'googl'),), (('googl', 'plan', 'enlist', 'googl', 'app', 'partner', 'stock', 'new', 'onlin', 'store', 'effort', 'bolster', 'enterpris', 'softwar', 'busi'), ('googl', 'step', 'financ', 'univers', 'research', 'million', 'grant', 'focus', 'four', 'field', 'machin', 'learn', 'use', 'cellphon', 'data', 'collect', 'energi', 'effici', 'comput', 'privaci')), (('an', 'uncomfort', 'question', 'surfac', 'year', 'sundanc', 'film', 'festiv', 'in', 'digit', 'age', 'trekk', 'park', 'citi', 'utah', 'januari', 'becom', 'le', 'necessari'), ('on', 'issu', 'like', 'privaci', 'copyright', 'protect', 'domin', 'search', 'engin', 'googl', 'increas', 'clash', 'lawmak', 'regul'), ('pari', 'googl', 'problem', 'china', 'it', 'may', 'head', 'bigger', 'one', 'europ', 'so', 'far', 'one', 'accus', 'european', 'govern', 'cyberattack', 'like', 'googl', 'say', 'suffer', 'china', 'but', 'issu', 'privaci', 'copyright'), ('googl', 'step', 'univers', 'research', 'fund', 'million', 'commit', 'dozen', 'univers', 'research', 'project', 'four', 'area', 'machin', 'learn', 'use', 'cellphon', 'data', 'collect', 'devic', 'scienc', 'energi', 'effici', 'computi'), ('user', 'googl', 'nexus', 'one', 'smartphon', 'start', 'see', 'updat', 'come', 'day', 'fix', 'spotti', 'g', 'servic', 'enabl', 'multitouch', 'navig', 'map', 'photo', 'web')), (('david', 'eun', 'oversaw', 'googl', 'relationship', 'medium', 'compani', 'join', 'newli', 'independ', 'aol', 'drive', 'push', 'content'),)]	531.29	1.3	1.0
2010-02-12	[(('the', 'collabor', 'nsa', 'rais', 'question', 'much', 'googl', 'knew', 'said', 'might', 'end', 'oper', 'china'), ('while', 'justic', 'depart', 'explicit', 'urg', 'reject', 'deal', 'opposit', 'copyright', 'class', 'action', 'antitrust', 'ground', 'setback', 'googl')), (('in', 'move', 'would', 'mark', 'departur', 'googl', 'market', 'effort', 'compani', 'expect', 'air', 'ad', 'super', 'bowl'),), (('googl', 'unveil', 'addon', 'gmail', 'let', 'peopl', 'post', 'view', 'messag', 'daytoday', 'activ'), ('publish', 'manag', 'take', 'control', 'least', 'temporarili', 'much', 'consum', 'pay', 'content'), ('googl', 'buzz', 'servic', 'tie', 'gmail', 'anoth', 'way', 'peopl', 'tell', 'other', 'theyr', 'do', 'think', 'feel'), ('after', 'mount', 'complaint', 'lack', 'custom', 'support', 'nexus', 'one', 'googl', 'offer', 'phone', 'hot', 'line'), ('a', 'new', 'socialnetwork', 'aggreg', 'googl', 'buzz', 'begin', 'rollout', 'week')), (('the', 'new', 'servic', 'call', 'googl', 'buzz', 'allow', 'gmail', 'user', 'share', 'updat', 'photo', 'video', 'facebook', 'social', 'network', 'site'), ('the', 'network', 'intend', 'showcas', 'potenti', 'new', 'us', 'ultrahighspe', 'broadband', 'network')), (('the', 'search', 'engin', 'suggest', 'turn', 'web', 'home', 'shop', 'network'), ('googl', 'acquir', 'startup', 'call', 'aardvark', 'found', 'group', 'former', 'googl', 'employe'))]	533.12	1.8	1.0
2010-02-19	[(('googl', 'agre', 'acquir', 'aardvark', 'san', 'franciscobas', 'startup', 'tap', 'user', 'social', 'network', 'find', 'someon', 'answer', 'question', 'accord', 'repres', 'compani'), ('sergey', 'brin', 'cofound', 'googl', 'also', 'urg', 'compani', 'recent', 'hit', 'chines', 'hacker', 'speak', 'out')), (('googl', 'face', 'firestorm', 'critic', 'blog', 'web', 'site', 'alreadi', 'forc', 'alter', 'featur', 'buzz', 'new', 'social', 'network', 'servic'), ('googl', 'make', 'import', 'chang', 'buzz', 'address', 'critic', 'user', 'privaci', 'advoc')), (('the', 'compani', 'disabl', 'buzz', 'muchcritic', 'autofollow', 'featur', 'intend', 'make', 'easi', 'peopl', 'start', 'use', 'servic'),), (('googl', 'hire', 'ebay', 'veteran', 'vice', 'presid', 'commerc', 'new', 'posit', 'suggest', 'push', 'googl', 'onlin', 'retail', 'sector'),), (('here', 'primer', 'explain', 'buzz', 'use', 'way', 'prefer'),)]	540.763	7.6	1.0
2010-02-26	[(('the', 'propos', 'creat', 'world', 'largest', 'digit', 'librari', 'put', 'giant', 'like', 'soni', 'microsoft', 'opposit', 'side'), ('expert', 'trace', 'attack', 'googl', 'corpor', 'two', 'school', 'china', 'includ', 'one', 'militari', 'tie'), ('a', 'plan', 'develop', 'expos', 'fissur', 'googl', 'citi', 'council', 'mountain', 'view', 'calif'), ('san', 'francisco', 'a', 'seri', 'onlin', 'attack', 'googl', 'dozen', 'american', 'corpor', 'trace', 'comput', 'two', 'educ', 'institut', 'china', 'includ', 'one', 'close', 'tie', 'chines', 'militari', 'say', 'peopl', 'involv', 't'), ('googl', 'mountain', 'view', 'remak', 'old', 'companytown', 'templat', 'give', 'informationag', 'accent', 'this', 'highlight', 'friday', 'bay', 'area', 'report')), (('our', 'monday', 'morn', 'technolog', 'news', 'roundup', 'also', 'look', 'aol', 'plan', 'build', 'newsroom', 'futur', 'emerg', 'battl', 'among', 'chip', 'maker', 'possibl', 'price', 'cut', 'tv', 'show', 'appl', 'itun'), ('sukhind', 'singh', 'cassidi', 'former', 'googl', 'accel', 'new', 'chief', 'execut', 'polyvor', 'fashionori', 'ecommerc', 'startup'), ('lesson', 'plan', 'develop', 'internet', 'search', 'strategi', 'trial', 'error', 'tell', 'stori', 'search', 'benefit', 'web', 'user', 'research')), (('sukhind', 'singh', 'cassidi', 'googl', 'former', 'presid', 'asiapacif', 'latin', 'america', 'oper', 'becom', 'chief', 'execut', 'polyvor', 'onlin', 'shop', 'fashion', 'startup'), ('our', 'tuesday', 'morn', 'roundup', 'technolog', 'news', 'also', 'includ', 'look', 'continu', 'digit', 'divid', 'appl', 'decis', 'remov', 'sexrel', 'iphon', 'applic', 'app', 'store'), ('intel', 'said', 'victim', 'cyberattack', 'januari', 'around', 'time', 'googl', 'victim', 'broadbas', 'attack', 'start', 'china')), (('among', 'accus', 'one', 'say', 'compani', 'play', 'certain', 'site', 'search', 'result'), ('other', 'item', 'technolog', 'news', 'roundup', 'includ', 'european', 'antitrust', 'inquiri', 'googl', 'look', 'new', 'type', 'augment', 'realiti', 'technolog')), (('in', 'itali', 'three', 'googl', 'execut', 'held', 'crimin', 'respons', 'content', 'post', 'compani', 'system', 'suggest', 'googl', 'content', 'provid', 'could', 'regul'),)]	526.8	-14.0	2.0
2010-03-05	[(('the', 'agreement', 'googl', 'brazilian', 'tourist', 'board', 'emblemat', 'increas', 'role', 'social', 'medium', 'play', 'travel', 'market'),), (('an', 'italian', 'rule', 'googl', 'highlight', 'clash', 'europ', 'love', 'privaci', 'america', 'free', 'speech'),), (('a', 'tini', 'french', 'web', 'site', 'one', 'three', 'organ', 'one', 'affili', 'microsoft', 'file', 'new', 'antitrust', 'complaint', 'googl', 'europ', 'last', 'week'), ('googl', 'buy', 'onlin', 'photo', 'edit', 'servic', 'picnik', 'compet', 'adob', 'compani'), ('from', 'bit', 'the', 'onlin', 'photo', 'edit', 'servic', 'picnik', 'announc', 'monday', 'acquir', 'googl')), (('in', 'tuesday', 'tech', 'news', 'roundup', 'the', 'pirat', 'bay', 'still', 'thrive', 'despit', 'legal', 'effort', 'shut', 'down', 'data', 'flow', 'new', 'channel', 'internet', 'googl', 'patent', 'locationbas', 'advertis'), ('our', 'daili', 'roundup', 'nugget', 'around', 'web', 'includ', 'look', 'aesthet', 'movement', 'call', 'steampunk', 'cultur', 'histori', 'd', 'movi', 'topeka', 'decis', 'renam', 'googl', 'kansa'))]	564.21	37.4	1.0
2010-03-12	[(('googl', 'pour', 'resourc', 'improv', 'automat', 'translat', 'servic', 'here', 'quick', 'comparison', 'human', 'translat', 'computer', 'version', 'googl', 'two', 'competitor'), ('the', 'compani', 'network', 'push', 'limit', 'translat', 'technolog', 'becom', 'favor', 'sourc', 'million'), ('googl', 'introduc', 'marketplac', 'busi', 'softwar', 'help', 'spur', 'adopt', 'suit', 'product', 'applic'), ('googl', 'add', 'bike', 'direct', 'digit', 'map', 'american', 'citi', 'acclaim', 'cycl', 'activist')), (('googl', 'offer', 'bike', 'rout', 'american', 'citi', 'googl', 'map', 'give', 'travel', 'anoth', 'way', 'see', 'site'), ('googl', 'announc', 'new', 'featur', 'googl', 'reader', 'web', 'site', 'wednesday', 'call', 'googl', 'reader', 'play', 'the', 'updat', 'applic', 'offer', 'simpl', 'person', 'view', 'web', 'content'))]	579.54	15.3	1.0
2010-03-19	[(('the', 'new', 'social', 'network', 'servic', 'continu', 'evolv', 'give', 'user', 'control', 'see', 'what'),), (('a', 'top', 'chines', 'regul', 'warn', 'blunt', 'move', 'googl', 'stop', 'censor', 'chines', 'search', 'engin', 'would', 'draw', 'respons', 'beij'), ('the', 'outcri', 'googl', 'social', 'network', 'featur', 'shed', 'light', 'challeng', 'technolog', 'compani', 'must', 'face', 'come', 'think', 'privaci', 'say', 'one', 'research')), (('onc', 'alli', 'steve', 'job', 'eric', 'schmidt', 'engag', 'gritti', 'fight', 'mobil', 'comput', 'cellphon'),), (('author', 'warn', 'googl', 'partner', 'must', 'compli', 'censorship', 'law', 'even', 'search', 'giant', 'not', 'industri', 'expert', 'said'), ('our', 'daili', 'roundup', 'technolog', 'news', 'tidbit', 'includ', 'facebook', 'ascend', 'googl', 'traffic', 'blackberri', 'user', 'iphon', 'envi', 'fandango', 'introduct', 'movi', 'ticket', 'cellphon')), (('a', 'platform', 'call', 'googl', 'tv', 'bring', 'web', 'live', 'room', 'televis', 'settop', 'box'),), (('a', 'letter', 'demand', 'googl', 'compens', 'advertis', 'agent', 'withdraw', 'china', 'probabl', 'genuin'), ('thousand', 'page', 'court', 'file', 'part', 'viacom', 'copyright', 'infring', 'suit', 'googl', 'youtub', 'owner', 'unseal', 'thursday'))]	560.0	-19.5	2.0
